"indicator","geography_code","quintile","period","numerator","indicator_measure","lower_confidence_interval","upper_confidence_interval","definition","relative_inequality_gap","lower_confidence_interval_relative_ineq","upper_confidence_interval_relative_ineq","absolute_inequality_gap","lower_confidence_interval_absolute_ineq","upper_confidence_interval_absolute_ineq","population_attributable_risk"
"Psychiatric patient hospitalisations","S12000036","Total","2005/06 to 2007/08 financial years; 3-year aggregates",1553.7,354.8,336.6,373.6,"Age-sex standardised rate per 100,000",84.2,35.9,132.5,597.4,255,939.8,50.4
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2006/07 to 2008/09 financial years; 3-year aggregates",568.7,644.2,590.3,701.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2006/07 to 2008/09 financial years; 3-year aggregates",379.3,423,379,470.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2006/07 to 2008/09 financial years; 3-year aggregates",248.7,286.6,250.6,326.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2006/07 to 2008/09 financial years; 3-year aggregates",172.3,197.8,168.3,230.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2006/07 to 2008/09 financial years; 3-year aggregates",151,173.3,146,204.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2006/07 to 2008/09 financial years; 3-year aggregates",1520,343.4,325.7,361.7,"Age-sex standardised rate per 100,000",85.6,36.4,134.8,587.8,250.1,925.5,50.1
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2007/08 to 2009/10 financial years; 3-year aggregates",525.7,593.1,541.5,648.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2007/08 to 2009/10 financial years; 3-year aggregates",356.3,394.8,352.4,440.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2007/08 to 2009/10 financial years; 3-year aggregates",249,286.3,250.1,326.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2007/08 to 2009/10 financial years; 3-year aggregates",160.7,184.7,156.3,216.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2007/08 to 2009/10 financial years; 3-year aggregates",144.3,162.9,136.4,192.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2007/08 to 2009/10 financial years; 3-year aggregates",1436,323,305.8,340.8,"Age-sex standardised rate per 100,000",83.4,40.2,126.6,538.8,259.9,817.7,50.1
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2008/09 to 2010/11 financial years; 3-year aggregates",492.3,541.7,493.2,593.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2008/09 to 2010/11 financial years; 3-year aggregates",337.7,375.4,333.7,420.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2008/09 to 2010/11 financial years; 3-year aggregates",239.7,270.9,236.4,308.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2008/09 to 2010/11 financial years; 3-year aggregates",146,165.1,138.7,195.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2008/09 to 2010/11 financial years; 3-year aggregates",135,154.9,128.7,184.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2008/09 to 2010/11 financial years; 3-year aggregates",1350.7,301.2,284.7,318.3,"Age-sex standardised rate per 100,000",82.3,41.9,122.7,495.7,252.1,739.2,49.1
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2009/10 to 2011/12 financial years; 3-year aggregates",454.3,491.9,446.1,541.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2009/10 to 2011/12 financial years; 3-year aggregates",321.7,362.6,321,407.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2009/10 to 2011/12 financial years; 3-year aggregates",226.7,251.5,218.4,288,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2009/10 to 2011/12 financial years; 3-year aggregates",146.7,167.2,140.4,197.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2009/10 to 2011/12 financial years; 3-year aggregates",127.7,146.4,121.1,175.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2009/10 to 2011/12 financial years; 3-year aggregates",1277,283.9,267.9,300.5,"Age-sex standardised rate per 100,000",78.7,45.5,111.8,446.7,258.6,634.8,48.9
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2010/11 to 2012/13 financial years; 3-year aggregates",453.7,478.8,434.2,526.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2010/11 to 2012/13 financial years; 3-year aggregates",335.7,376.9,334.2,423.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2010/11 to 2012/13 financial years; 3-year aggregates",224.3,242,210.1,277.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2010/11 to 2012/13 financial years; 3-year aggregates",146.3,164.2,137.9,193.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2010/11 to 2012/13 financial years; 3-year aggregates",117.3,133.8,109.9,161.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2010/11 to 2012/13 financial years; 3-year aggregates",1277.3,279.4,263.7,295.7,"Age-sex standardised rate per 100,000",81.3,50.9,111.7,454.5,284.7,624.4,52.5
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2011/12 to 2013/14 financial years; 3-year aggregates",433.3,456.2,412.6,503.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2011/12 to 2013/14 financial years; 3-year aggregates",346.7,379.9,337.6,425.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2011/12 to 2013/14 financial years; 3-year aggregates",225,238.9,207.5,273.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2011/12 to 2013/14 financial years; 3-year aggregates",151.3,168.2,141.8,197.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2011/12 to 2013/14 financial years; 3-year aggregates",111,126.8,103.5,153.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2011/12 to 2013/14 financial years; 3-year aggregates",1267.3,274.2,258.7,290.3,"Age-sex standardised rate per 100,000",79.8,53.1,106.6,437.8,291.2,584.3,54.2
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2012/13 to 2014/15 financial years; 3-year aggregates",414,436,393.4,481.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2012/13 to 2014/15 financial years; 3-year aggregates",350.3,382.9,340.8,428.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2012/13 to 2014/15 financial years; 3-year aggregates",221.3,231.7,201.1,265.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2012/13 to 2014/15 financial years; 3-year aggregates",138.7,149.2,125,176.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2012/13 to 2014/15 financial years; 3-year aggregates",105.7,116.9,94.9,142.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2012/13 to 2014/15 financial years; 3-year aggregates",1230,261.8,246.9,277.4,"Age-sex standardised rate per 100,000",83.5,50.9,116.2,437.4,266.5,608.2,56
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2013/14 to 2015/16 financial years; 3-year aggregates",393.3,420.5,378.4,465.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2013/14 to 2015/16 financial years; 3-year aggregates",361.3,400.1,356.9,446.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2013/14 to 2015/16 financial years; 3-year aggregates",212.7,222.7,192.6,256,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2013/14 to 2015/16 financial years; 3-year aggregates",133.3,139.3,116.3,165.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2013/14 to 2015/16 financial years; 3-year aggregates",103.7,111.7,90.6,136.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2013/14 to 2015/16 financial years; 3-year aggregates",1204.3,255.3,240.6,270.6,"Age-sex standardised rate per 100,000",86.2,41.5,130.8,439.9,211.9,668,57.1
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2014/15 to 2016/17 financial years; 3-year aggregates",386.7,414.7,372.9,459.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2014/15 to 2016/17 financial years; 3-year aggregates",352.7,395.8,352.5,442.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2014/15 to 2016/17 financial years; 3-year aggregates",219,230.8,199.9,264.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2014/15 to 2016/17 financial years; 3-year aggregates",127.3,130.6,108.5,155.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2014/15 to 2016/17 financial years; 3-year aggregates",109.7,114.1,93.2,138.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2014/15 to 2016/17 financial years; 3-year aggregates",1195.3,252.2,237.6,267.4,"Age-sex standardised rate per 100,000",86,40.8,131.1,433.6,205.8,661.5,55.8
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2015/16 to 2017/18 financial years; 3-year aggregates",394,417.6,375.8,462.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2015/16 to 2017/18 financial years; 3-year aggregates",326,365.5,324,410.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2015/16 to 2017/18 financial years; 3-year aggregates",218.7,229.9,199.1,264,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2015/16 to 2017/18 financial years; 3-year aggregates",143.3,146.9,123.4,173.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2015/16 to 2017/18 financial years; 3-year aggregates",114,115.6,94.9,139.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2015/16 to 2017/18 financial years; 3-year aggregates",1196,250.7,236.2,265.8,"Age-sex standardised rate per 100,000",82.2,52.1,112.2,411.9,261.1,562.6,54.8
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2016/17 to 2018/19 financial years; 3-year aggregates",400.7,426.4,383.7,472.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2016/17 to 2018/19 financial years; 3-year aggregates",292.3,317,279.1,358.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2016/17 to 2018/19 financial years; 3-year aggregates",227,235.4,204.5,269.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2016/17 to 2018/19 financial years; 3-year aggregates",149,152.2,128.2,179.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2016/17 to 2018/19 financial years; 3-year aggregates",113.7,113.7,93.4,137.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2016/17 to 2018/19 financial years; 3-year aggregates",1182.7,244.8,230.6,259.7,"Age-sex standardised rate per 100,000",80.7,58,103.4,395.3,284.1,506.4,54.4
"Psychiatric patient hospitalisations","S12000036","1 - most deprived","2017/18 to 2019/20 financial years; 3-year aggregates",397.7,421.7,379.2,467.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","2","2017/18 to 2019/20 financial years; 3-year aggregates",302,317.2,279.9,357.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","3","2017/18 to 2019/20 financial years; 3-year aggregates",219.7,221.9,192.3,254.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","4","2017/18 to 2019/20 financial years; 3-year aggregates",153.7,156.5,132.3,183.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","5 - least deprived","2017/18 to 2019/20 financial years; 3-year aggregates",117.7,115,94.8,138.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000036","Total","2017/18 to 2019/20 financial years; 3-year aggregates",1190.7,241.9,227.9,256.5,"Age-sex standardised rate per 100,000",79.9,55.1,104.7,386.7,266.6,506.8,53.4
"Psychiatric patient hospitalisations","S12000005","1 - most deprived","2002/03 to 2004/05 financial years; 3-year aggregates",52.7,591.1,437.4,779.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","2","2002/03 to 2004/05 financial years; 3-year aggregates",38.3,411.8,289.7,567.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","3","2002/03 to 2004/05 financial years; 3-year aggregates",33.3,366.6,250.1,517.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","4","2002/03 to 2004/05 financial years; 3-year aggregates",28.7,325,203.1,486.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","5 - least deprived","2002/03 to 2004/05 financial years; 3-year aggregates",21.7,262.7,149.3,419.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","Total","2002/03 to 2004/05 financial years; 3-year aggregates",174.7,389.7,330.8,455.6,"Age-sex standardised rate per 100,000",47.9,17.9,78,373.5,139.4,607.6,33
"Psychiatric patient hospitalisations","S12000005","1 - most deprived","2003/04 to 2005/06 financial years; 3-year aggregates",50,562,412.2,746.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","2","2003/04 to 2005/06 financial years; 3-year aggregates",38.7,395.9,280,543.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","3","2003/04 to 2005/06 financial years; 3-year aggregates",34.7,386.3,266.3,541,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","4","2003/04 to 2005/06 financial years; 3-year aggregates",24,261.3,156.2,404,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","5 - least deprived","2003/04 to 2005/06 financial years; 3-year aggregates",20.7,246.5,139.9,394.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","Total","2003/04 to 2005/06 financial years; 3-year aggregates",168,367.2,311,430.2,"Age-sex standardised rate per 100,000",52,20.6,83.3,381.7,151.4,612,33.3
"Psychiatric patient hospitalisations","S12000005","1 - most deprived","2004/05 to 2006/07 financial years; 3-year aggregates",43.7,538.1,360.9,760.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","2","2004/05 to 2006/07 financial years; 3-year aggregates",39.3,389.1,275.7,533,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","3","2004/05 to 2006/07 financial years; 3-year aggregates",36,406.3,282.2,565.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","4","2004/05 to 2006/07 financial years; 3-year aggregates",23.3,228.1,142.8,344.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","5 - least deprived","2004/05 to 2006/07 financial years; 3-year aggregates",19,240.4,134.9,389.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","Total","2004/05 to 2006/07 financial years; 3-year aggregates",161.3,351.9,297.1,413.5,"Age-sex standardised rate per 100,000",53.5,13.7,93.4,376.9,96.3,657.5,32.9
"Psychiatric patient hospitalisations","S12000005","1 - most deprived","2005/06 to 2007/08 financial years; 3-year aggregates",41.3,485.9,323.6,690.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","2","2005/06 to 2007/08 financial years; 3-year aggregates",40.3,403.2,286.7,550.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","3","2005/06 to 2007/08 financial years; 3-year aggregates",32,346.4,234.9,491.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","4","2005/06 to 2007/08 financial years; 3-year aggregates",19.7,203.7,120.2,320.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","5 - least deprived","2005/06 to 2007/08 financial years; 3-year aggregates",15.7,180.9,100.7,298,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","Total","2005/06 to 2007/08 financial years; 3-year aggregates",149,318.1,267.3,375.4,"Age-sex standardised rate per 100,000",63.7,40.7,86.7,405.2,259,551.4,44
"Psychiatric patient hospitalisations","S12000005","1 - most deprived","2006/07 to 2008/09 financial years; 3-year aggregates",41.3,491.5,319,709.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","2","2006/07 to 2008/09 financial years; 3-year aggregates",42.3,454.5,312.4,633.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","3","2006/07 to 2008/09 financial years; 3-year aggregates",30.7,339.8,227.1,487.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","4","2006/07 to 2008/09 financial years; 3-year aggregates",19,190.8,111.1,303.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","5 - least deprived","2006/07 to 2008/09 financial years; 3-year aggregates",14.7,164,88.9,275,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","Total","2006/07 to 2008/09 financial years; 3-year aggregates",148,318.5,266.7,377,"Age-sex standardised rate per 100,000",72.4,41.5,103.3,461.3,264.4,658.1,49.9
"Psychiatric patient hospitalisations","S12000005","1 - most deprived","2007/08 to 2009/10 financial years; 3-year aggregates",42.7,455.2,322.5,622.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","2","2007/08 to 2009/10 financial years; 3-year aggregates",39.7,432.7,285.6,619.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","3","2007/08 to 2009/10 financial years; 3-year aggregates",29.7,350,226.1,513,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","4","2007/08 to 2009/10 financial years; 3-year aggregates",15,157.4,83.8,265.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","5 - least deprived","2007/08 to 2009/10 financial years; 3-year aggregates",17,187.4,105.6,305.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","Total","2007/08 to 2009/10 financial years; 3-year aggregates",144,307.1,256.3,364.6,"Age-sex standardised rate per 100,000",66.8,17.6,115.9,410,108.1,711.9,40.4
"Psychiatric patient hospitalisations","S12000005","1 - most deprived","2008/09 to 2010/11 financial years; 3-year aggregates",46.3,534.1,357,754.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","2","2008/09 to 2010/11 financial years; 3-year aggregates",39.3,427.3,289.7,601.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","3","2008/09 to 2010/11 financial years; 3-year aggregates",28.3,332.2,211.2,492.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","4","2008/09 to 2010/11 financial years; 3-year aggregates",17.7,188.7,107.1,305.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","5 - least deprived","2008/09 to 2010/11 financial years; 3-year aggregates",16.7,184.1,102.9,301.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","Total","2008/09 to 2010/11 financial years; 3-year aggregates",148.3,322.5,269.5,382.5,"Age-sex standardised rate per 100,000",73.2,43.3,103.1,472.2,279,665.3,44.8
"Psychiatric patient hospitalisations","S12000005","1 - most deprived","2009/10 to 2011/12 financial years; 3-year aggregates",51.3,576.2,411.5,778.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","2","2009/10 to 2011/12 financial years; 3-year aggregates",38.3,389.5,274.3,536.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","3","2009/10 to 2011/12 financial years; 3-year aggregates",25.7,298.3,185.9,449.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","4","2009/10 to 2011/12 financial years; 3-year aggregates",21.7,245.3,148.7,378.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","5 - least deprived","2009/10 to 2011/12 financial years; 3-year aggregates",19,203.3,117,325.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","Total","2009/10 to 2011/12 financial years; 3-year aggregates",156,335.6,282.2,395.6,"Age-sex standardised rate per 100,000",67,27.6,106.4,449.7,185.2,714.2,40.9
"Psychiatric patient hospitalisations","S12000005","1 - most deprived","2010/11 to 2012/13 financial years; 3-year aggregates",54.7,594.3,435,789.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","2","2010/11 to 2012/13 financial years; 3-year aggregates",40.7,433.6,308.9,591.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","3","2010/11 to 2012/13 financial years; 3-year aggregates",24.3,253,159.8,379.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","4","2010/11 to 2012/13 financial years; 3-year aggregates",24.3,309.6,193.2,467.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","5 - least deprived","2010/11 to 2012/13 financial years; 3-year aggregates",17.7,191.2,106.3,312.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","Total","2010/11 to 2012/13 financial years; 3-year aggregates",161.7,347.5,293.6,408.1,"Age-sex standardised rate per 100,000",68.3,15.1,121.5,474.6,105,844.2,46.4
"Psychiatric patient hospitalisations","S12000005","1 - most deprived","2011/12 to 2013/14 financial years; 3-year aggregates",48.7,522.7,378.6,701.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","2","2011/12 to 2013/14 financial years; 3-year aggregates",39.7,419.5,297.6,574,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","3","2011/12 to 2013/14 financial years; 3-year aggregates",28,284.1,185.8,414.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","4","2011/12 to 2013/14 financial years; 3-year aggregates",20.3,263.3,155.5,413.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000005","5 - least deprived","2011/12 to 2013/14 financial years; 3-year aggregates",18.7,201.9,114.1,326,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
